symbol,calendarYear,GPM,A (SGA),B (RD),C (PPE),D (DEPR),E (CAPEX),F (NR),currentRatio,G (ROA),H (LD/GP),debtToEquity,Net Issuance,Interest - income,Buy =1
AAPL,1993,0.3628306381,0.9044674014,0,0.2278616591,0.05738866047,-2.46073903,15.95727483,1.724872774,0.01674594887,0,0.299724129,0.07973124364,0,1
AAPL,1992,0.4674098638,0.6911813543,0,0.1395405006,0.06557377049,-0.3674585219,2.049773756,1.729665072,0.1255771006,0,1.552319842,0.08630249885,0,1
AAPL,1991,0.5070853411,0.7962864556,0,0.1400393861,0.0638929699,-0.7046481601,2.928340865,2.496246931,0.08867643691,0,0.3860364645,0.08918247491,0,1
AAPL,1990,0.5675913932,0.7100700498,0,0.1262163618,0.06424926305,-0.47230996,1.604337755,2.495091164,0.1595927009,0,0.930955647,0.0956199191,0,1
AAPL,1989,0.5136260409,0.7203021371,0,0.1231392778,0.04598378777,-0.5264317181,1.746255507,2.35280585,0.1654579249,0,0.4913962361,0.1072458258,0,1
AAPL,1988,0.5300879304,0.6765823371,0,0.09609860069,0,-0.5043359966,1.595803148,2.353327855,0.1922578166,0,0.9773627617,0.1171549895,0,1
AAPL,1987,0.5394009996,0.6920718963,0,0.09084575728,0,-0.5430753604,1.864827586,2.340116845,0.1471682793,0,0.6094929174,0.1223933953,0,1
AAPL,1986,0.5583364004,0.6943214992,0,0.1010452962,0,-0.5759704138,1.708441558,,0.132747177,0,0.6120832933,0.1278054256,0,1
AAPL,1985,0.4390866913,0.7754956666,0,0.1073251811,0,-0.6329420608,3.598039216,,0.0653706473,0,0.5956817745,0.1317021413,0,1
ALL,2020,0.279508,0.464803,0,0.130376,0.0518139,-0.05523672884,2.81545911,,0.04425853461,0,0.258960188,-225,0,0
ALL,2019,0.230767,0.659774,0,0.113735,0.055616,-0.08933360842,3.235609655,1.089909644,0.04040850354,0,0.2550580814,-318.5555556,0,0
ALL,2018,0.257898,0.489914,0,0.105481,0.0475253,-0.1230017762,6.980017762,0.1145751959,0.02006253953,0,0.3026933183,-298.6666667,0,0
ALL,2017,0.2560576667,0.5381636667,0,0.1165306667,0.05165173333,-0.09375979931,4.61179053,0.09993893751,0.02836633399,0,0.2815839652,-166.1111111,0,0
ALL,2016,0.2560576667,0.5381636667,0,0.1165306667,0.05165173333,-0.1667554608,7.640916356,0.1263434937,0.01728201823,0,0.3085111554,-148.5555556,0,0
ALL,2015,0.2560576667,0.5381636667,0,0.1165306667,0.05165173333,-0.1395670198,6.477199447,0.1026450501,0.02074415227,0,0.2558801498,-312,0,0
ALL,2014,0.2560576667,0.5381636667,0,0.1165306667,0.05165173333,-0.1010526316,4.896491228,0.8460788548,0.02625929441,0,0.2328730273,-255.6666667,0,0
ALL,2013,0.2560576667,0.5381636667,0,0.1165306667,0.05165173333,-0.09078947368,5.639473684,0.6972318159,0.01845854922,0,0.2886871508,-203.7777778,0,0
ALL,2012,0.2560576667,0.5381636667,0,0.1165306667,0.05165173333,-0.1235906331,5.992194276,0.8261788456,0.01816506101,0,0.2943148688,-101.4444444,0,0
ALL,2011,0.2560576667,0.5381636667,0,0.1165306667,0.05165173333,-0.3121827411,6.243654822,0.06919123399,0.006275734094,0,0.3163757095,-103.7777778,0,0
ALL,2010,0.2560576667,0.5381636667,0,0.1165306667,0.05165173333,-0.1745689655,5.214439655,0.08192543653,0.007090789614,0,0.3106857383,-13.77777778,0,0
ALL,2009,0.2560576667,0.5381636667,0,0.1165306667,0.05165173333,-0.2213114754,5.666276347,1.188432531,0.006437897657,0,0.354061826,-0.1111111111,0,0
ALL,2008,0.2560576667,0.5381636667,0,0.1165306667,0.05165173333,0.1733174509,-2.88385944,1.140491682,-0.01245567442,0,0.4476702793,-143.3333333,0,0
ALL,2007,0.2560576667,0.5381636667,0,0.1165306667,0.05165173333,-0.05910267472,1.052415876,1.198608407,0.0296404276,0,0.2581117569,-400.4444444,0,0
ALL,2006,0.2560576667,0.5381636667,0,0.1165306667,0.05165173333,-0.0322451432,0.9591427999,1.188168597,0.03169072191,0,0.2128536116,-196.6666667,0,0
ALL,2005,0.2560576667,0.5381636667,0,0.1165306667,0.05165173333,-0.1110481586,2.684985836,1.177161658,0.01130888308,0,0.2420984841,-276,0,0
ALL,2004,0.2560576667,0.5381636667,0,0.1165306667,0.05165173333,-0.06287331028,1.484124489,1.206107119,0.02124561696,0,0.2424506255,-152.5555556,0,0
